"Example","Model","Effect","Estimate_Stata","SE_Stata","Estimate_CRAN","SE_CRAN","Estimate_Polars","SE_Polars"
"Deryugina","Baseline",1,0.0108629235458889,".",0.0108629234897964,0.0016169631261746,0.0108629234897964,0.0016169631261746
"Deryugina","Baseline",10,0.0494015810449095,".",0.0494015841376323,0.00602901861964065,0.0494015841376323,0.00602901861964065
"Deryugina","Baseline",11,0.0518122837750441,".",0.051812285209058,0.00610549191090275,0.051812285209058,0.00610549191090274
"Deryugina","Baseline",2,0.0127917844925642,".",0.0127917837790873,0.00236509733740632,0.0127917837790872,0.00236509733740632
"Deryugina","Baseline",3,0.0158004616427043,".",0.0158004613717625,0.00300746061170517,0.0158004613717625,0.00300746061170517
"Deryugina","Baseline",4,0.0163886433729818,".",0.0163886434481568,0.00339298013330418,0.0163886434481567,0.00339298013330418
"Deryugina","Baseline",5,0.0230699228957321,".",0.0230699233229095,0.00389684700340045,0.0230699233229095,0.00389684700340045
"Deryugina","Baseline",6,0.02682852041142,".",0.0268285222080967,0.00425075075879542,0.0268285222080965,0.00425075075879542
"Deryugina","Baseline",7,0.0377147289757426,".",0.0377147267972461,0.00449256856996367,0.0377147267972462,0.00449256856996367
"Deryugina","Baseline",8,0.0392922482316796,".",0.0392922472125829,0.00503943584056353,0.039292247212583,0.00503943584056354
"Deryugina","Baseline",9,0.0351089687737702,".",0.0351089739263345,0.00551851736934595,0.0351089739263345,0.00551851736934596
"Favara_Imbs","Baseline",1,0.0024102751877014,".",0.00241027522111182,0.00299878882855916,0.00241027522111182,0.00555992212781852
"Favara_Imbs","Baseline",2,0.0055268159428213,".",0.00552681590962132,0.00388879899431986,0.00552681590962133,0.0060966692060114
"Favara_Imbs","Baseline",3,0.0081491954767889,".",0.0081491954413895,0.0051571048632595,0.00814919544138948,0.00891207153943461
"Favara_Imbs","Baseline",4,0.0116606590841804,".",0.0116606590571965,0.00591468886121769,0.0116606590571964,0.0117811391709236
"Favara_Imbs","Baseline",5,0.0173245008139858,".",0.0173245008725871,0.00654886096840859,0.0173245008725871,0.0119493161430567
"Gentzkow","Non_Normalized",1,0.014424434385508,".",0.0144244335391573,0.00424765182705097,0,0.00424765182705098
"Gentzkow","Non_Normalized",2,0.0190899417120848,".",0.0190899411679104,0.00584288926562409,0,0.0058428892656241
"Gentzkow","Non_Normalized",3,0.0207146717465281,".",0.0207146714134795,0.00791636125785668,0,0.00791636125785668
"Gentzkow","Non_Normalized",4,0.0272653448598984,".",0.0272653455884051,0.00979235687694241,0,0.00979235687694241
"Gentzkow","Normalized",1,0.01201857161618,".",0.0120185712064908,0.00353918272112441,0,0.00353918272112438
"Gentzkow","Normalized",2,0.0082125706150681,".",0.0082125706085623,0.0025136348105991,0,0.0025136348105991
"Gentzkow","Normalized",3,0.0057192022341636,".",0.00571920220843545,0.00218566203078873,0,0.00218566203078871
"Gentzkow","Normalized",4,0.0053872703139323,".",0.00538727039529568,0.00193483974491621,0,0.00193483974491622
"Wagepan","Baseline",1,0.0409507582209782,".",0.0409507589219753,0.0339709086428129,0.0409507589219753,0.0339709086428129
"Wagepan","Baseline",2,0.0218878152185475,".",0.0218878146052098,0.0393387790490505,0.0218878146052099,0.0393387790490505
"Wagepan","Baseline",3,0.0311019248212154,".",0.0311019215194921,0.0425975834153738,0.0311019215194921,0.0425975834153738
"Wagepan","Baseline",4,0.0181626955133226,".",0.0181627023972097,0.047209970184856,0.0181627023972096,0.047209970184856
"Wagepan","Baseline",5,-0.0499657834854421,".",-0.0499657708663151,0.0546254344032438,-0.0499657708663151,0.0546254344032438
"Wagepan","Cluster",1,0.0409507582209782,".",0.0409507589219753,0.0285618462484819,0.0409507589219753,0.523413304659009
"Wagepan","Cluster",2,0.0218878152185475,".",0.0218878146052098,0.0255911893841904,0.0218878146052099,0.198944176036818
"Wagepan","Cluster",3,0.0311019248212154,".",0.0311019215194921,0.0278902117429067,0.0311019215194921,0.14410414685555
"Wagepan","Cluster",4,0.0181626955133226,".",0.0181627023972097,0.010076505316252,0.0181627023972096,0.209293698034532
"Wagepan","Cluster",5,-0.0499657834854421,".",-0.0499657708663151,0.0275674121227839,-0.0499657708663151,0.259609208522312
"Wagepan","Controls",1,0.0400048207440371,".",0.0400048246508408,0.0327436813912981,0.0400048246508408,0.0327436813912981
"Wagepan","Controls",2,0.0109445389573796,".",0.0109445372502894,0.0432252026831132,0.0109445372502894,0.0432252026831132
"Wagepan","Controls",3,-8.07837809547e-05,".",-8.07874683044946e-05,0.0511594911966377,-8.07874683044826e-05,0.0511594911966377
"Wagepan","Controls",4,-0.0046852471560577,".",-0.00468523776391117,0.051120743694468,-0.00468523776391118,0.0511207436944681
"Wagepan","Controls",5,-0.0704548068549655,".",-0.0704547967770116,0.0586857796344611,-0.0704547967770118,0.0586857796344611
"Wagepan","Normalized",1,0.0409507583273315,".",0.0409507589219753,0.0339709086428129,0.0409507589219753,0.0339709086428129
"Wagepan","Normalized",2,0.0140707385586475,".",0.0140707379604921,0.025289215102961,0.014070737960492,0.025289215102961
"Wagepan","Normalized",3,0.0144914461125008,".",0.0144914447519392,0.0198476652396906,0.0144914447519392,0.0198476652396906
"Wagepan","Normalized",4,0.0067590183181489,".",0.00675902093025931,0.0175685957748987,0.00675902093025931,0.0175685957748987
"Wagepan","Normalized",5,-0.0152795192906782,".",-0.0152795151682581,0.0167044386400078,-0.015279515168258,0.0167044386400078
"Wagepan","Placebos",1,0.0409507582209782,".",0.0409507589219753,0.0339709086428129,0.0409507589219753,0.0339709086428129
"Wagepan","Placebos",2,0.0218878152185475,".",0.0218878146052098,0.0393387790490505,0.0218878146052099,0.0393387790490505
"Wagepan","Placebos",3,0.0311019248212154,".",0.0311019215194921,0.0425975834153738,0.0311019215194921,0.0425975834153738
"Wagepan","Placebos",4,0.0181626955133226,".",0.0181627023972097,0.047209970184856,0.0181627023972096,0.047209970184856
"Wagepan","Placebos",5,-0.0499657834854421,".",-0.0499657708663151,0.0546254344032438,-0.0499657708663151,0.0546254344032438
"Wagepan","Same_Switchers",1,0.046592549897415,".",0.0465925483984899,0.0409018030995624,0.0465925483984899,0.0409018030995624
"Wagepan","Same_Switchers",2,0.0338583159110927,".",0.0338583180940893,0.0469162293330123,0.0338583180940893,0.0469162293330123
"Wagepan","Same_Switchers",3,0.0485448789022384,".",0.0485448821903344,0.0492838846515323,0.0485448821903344,0.0492838846515323
"Wagepan","Same_Switchers",4,0.0374830390421733,".",0.0374830523439772,0.0510270899893796,0.0374830523439772,0.0510270899893796
"Wagepan","Same_Switchers",5,-0.0499657834854421,".",-0.0499657708663151,0.0546254344032438,-0.0499657708663151,0.0546254344032438
"Wagepan","Switchers_In",1,0.0693367395718761,".",0.0693367423052272,0.050415114969721,0.0693367423052272,0.050415114969721
"Wagepan","Switchers_In",2,0.0392462862753779,".",0.0392462858559662,0.0506126328568969,0.0392462858559662,0.0506126328568969
"Wagepan","Switchers_In",3,0.044619040830283,".",0.0446190393252549,0.0584115544842666,0.0446190393252549,0.0584115544842666
"Wagepan","Switchers_In",4,0.0244555224758496,".",0.024455531708394,0.0656956293757392,0.0244555317083939,0.0656956293757392
"Wagepan","Switchers_In",5,-0.0379471537956131,".",-0.037947135980127,0.0765452883925381,-0.037947135980127,0.0765452883925381
"Wagepan","Switchers_Out",1,0.0015410937398775,".",0.0015410926714412,0.0410324174701138,0.00154109267144119,0.0410324174701138
"Wagepan","Switchers_Out",2,-0.0010182020143358,".",-0.00101820931331396,0.0621764040022482,-0.001018209313314,0.0621764040022482
"Wagepan","Switchers_Out",3,0.0131286166164033,".",0.0131286110305108,0.0617730518487422,0.0131286110305108,0.0617730518487422
"Wagepan","Switchers_Out",4,0.0093061265527108,".",0.00930612781109834,0.0660923682339909,0.00930612781109839,0.0660923682339909
"Wagepan","Switchers_Out",5,-0.0662071708111315,".",-0.0662071693611638,0.0761446588470561,-0.0662071693611638,0.0761446588470561
"Wagepan","Trends_Lin",1,-0.0660763188906616,".",-0.0660763199493342,0.0720155519537213,-0.0660763199493341,0.0720155519537213
"Wagepan","Trends_Lin",2,-0.197420167102726,".",-0.197420168405642,0.118881140343982,-0.197420168405642,0.118881140343982
"Wagepan","Trends_Lin",3,-0.267400020925294,".",-0.267400029826524,0.173514313888935,-0.267400029826524,0.173514313888935
"Wagepan","Trends_Lin",4,-0.357576340159675,".",-0.35757634080273,0.252807622582512,-0.35757634080273,0.252807622582512
"Wagepan","Trends_Lin",5,-0.528716166744889,".",-0.528716166647607,0.354921383357764,-0.528716166647606,0.354921383357764
"Wagepan","Trends_Nonparam",1,0.0397497676309986,".",0.0397497671998484,0.0337262027466857,0.0397497671998484,0.0337262027466856
"Wagepan","Trends_Nonparam",2,0.0258606001099789,".",0.0258605998123675,0.0390807194710391,0.0258605998123675,0.039080719471039
"Wagepan","Trends_Nonparam",3,0.0334369730529025,".",0.0334369684189782,0.0424415002014662,0.0334369684189782,0.0424415002014662
"Wagepan","Trends_Nonparam",4,0.0209025946129626,".",0.0209025993186085,0.0466452906175303,0.0209025993186085,0.0466452906175303
"Wagepan","Trends_Nonparam",5,-0.0436952363849199,".",-0.0436952242750416,0.0547109781484224,-0.0436952242750416,0.0547109781484224
