Example,Model,Type,Index,Python,R,Stata
Gentzkow,Non_Normalized,Effect,4,,0.0272653455884051,0.0272653448598984
Gentzkow,Non_Normalized,Placebo,1,,-0.0005024749550144,-0.0005024747702443
Gentzkow,Non_Normalized,Placebo,2,,0.0020594058543657,0.002059406457175
Gentzkow,Non_Normalized,Placebo,3,,-0.0015364937049992,-0.0015364930550216
Gentzkow,Non_Normalized,Placebo,4,,0.0006572647780961,0.0006572647878747
Gentzkow,Normalized,Avg_Effect,0,,,0.0160564992255824
Gentzkow,Normalized,Effect,1,,0.0120185712064907,0.01201857161618
Gentzkow,Normalized,Effect,2,,0.0082125706085622,0.0082125706150681
Gentzkow,Normalized,Effect,3,,0.0057192022084354,0.0057192022341636
Gentzkow,Normalized,Effect,4,,0.0053872703952957,0.0053872703139323
Gentzkow,Normalized,Placebo,1,,-0.0004158095499293,-0.0004158094067913
Gentzkow,Normalized,Placebo,2,,0.0008699415443696,0.0008699417935676
Gentzkow,Normalized,Placebo,3,,-0.0004201186952555,-0.0004201185140541
Gentzkow,Normalized,Placebo,4,,0.0001394198014143,0.0001394198050939
Wagepan,Baseline,Avg_Effect,0,,,0.0235192212472678
Wagepan,Baseline,Effect,1,0.0409507602378974,0.0409507589219753,0.0409507582209782
Wagepan,Baseline,Effect,2,0.0218878159493155,0.0218878146052099,0.0218878152185475
Wagepan,Baseline,Effect,3,0.0311019227087655,0.0311019215194921,0.0311019248212154
Wagepan,Baseline,Effect,4,0.0181627017793775,0.0181627023972096,0.0181626955133226
Wagepan,Baseline,Effect,5,-0.049965771888946,-0.0499657708663151,-0.0499657834854421
Wagepan,Bootstrap,Avg_Effect,0,,,0.0235192212472678
Wagepan,Bootstrap,Effect,1,,,0.0409507582209782
Wagepan,Bootstrap,Effect,2,,,0.0218878152185475
Wagepan,Bootstrap,Effect,3,,,0.0311019248212154
Wagepan,Bootstrap,Effect,4,,,0.0181626955133226
Wagepan,Bootstrap,Effect,5,,,-0.0499657834854421
Wagepan,Bootstrap,Placebo,1,,,-0.0883945682592297
Wagepan,Bootstrap,Placebo,2,,,0.0370908339898777
Wagepan,CI_Level_90,Avg_Effect,0,,,0.0235192212472678
Wagepan,CI_Level_90,Effect,1,0.0409507602378974,0.0409507589219753,0.0409507582209782
Wagepan,CI_Level_90,Effect,2,0.0218878159493155,0.0218878146052099,0.0218878152185475
Wagepan,CI_Level_90,Effect,3,0.0311019227087655,0.0311019215194921,0.0311019248212154
Wagepan,CI_Level_90,Effect,4,0.0181627017793775,0.0181627023972096,0.0181626955133226
Wagepan,CI_Level_90,Effect,5,-0.049965771888946,-0.0499657708663151,-0.0499657834854421
Wagepan,CI_Level_90,Placebo,1,-0.0883945683212952,-0.0883945688414893,-0.0883945682592297
Wagepan,CI_Level_90,Placebo,2,0.0370908381937922,0.0370908370919698,0.0370908339898777
Wagepan,CI_Level_99,Avg_Effect,0,,,0.0235192212472678
Wagepan,CI_Level_99,Effect,1,0.0409507602378974,0.0409507589219753,0.0409507582209782
Wagepan,CI_Level_99,Effect,2,0.0218878159493155,0.0218878146052099,0.0218878152185475
Wagepan,CI_Level_99,Effect,3,0.0311019227087655,0.0311019215194921,0.0311019248212154
Wagepan,CI_Level_99,Effect,4,0.0181627017793775,0.0181627023972096,0.0181626955133226
Wagepan,CI_Level_99,Effect,5,-0.049965771888946,-0.0499657708663151,-0.0499657834854421
Wagepan,CI_Level_99,Placebo,1,-0.0883945683212952,-0.0883945688414893,-0.0883945682592297
Wagepan,CI_Level_99,Placebo,2,0.0370908381937922,0.0370908370919698,0.0370908339898777
Wagepan,Cluster,Avg_Effect,0,,,0.0235192212472678
Wagepan,Cluster,Effect,1,0.0409507602378974,0.0409507589219753,0.0409507582209782
Wagepan,Cluster,Effect,2,0.0218878159493155,0.0218878146052099,0.0218878152185475
Wagepan,Cluster,Effect,3,0.0311019227087655,0.0311019215194921,0.0311019248212154
Wagepan,Cluster,Effect,4,0.0181627017793775,0.0181627023972096,0.0181626955133226
Wagepan,Cluster,Effect,5,-0.049965771888946,-0.0499657708663151,-0.0499657834854421
Wagepan,Cluster,Placebo,1,-0.0883945683212952,-0.0883945688414893,-0.0883945682592297
Wagepan,Cluster,Placebo,2,0.0370908381937922,0.0370908370919698,0.0370908339898777
Wagepan,Continuous,Avg_Effect,0,,,0.0127485028415472
Wagepan,Continuous,Effect,1,0.0409507602378974,0.0409507589219753,0.0409507593036407
Wagepan,Continuous,Effect,2,0.013183985732753,0.0131839836044913,0.0131839880261291
Wagepan,Continuous,Effect,3,0.0228333419587591,0.0228333406576745,0.0228333521193911
Wagepan,Continuous,Effect,4,0.0057284749541439,0.0057284751341968,0.0057284711595916
Wagepan,Continuous,Effect,5,-0.0579700962632821,-0.0579700965213757,-0.0579701054606847
Wagepan,Continuous,Placebo,1,-0.0787580788542094,-0.0787580791986695,-0.078758077065905
Wagepan,Continuous,Placebo,2,0.0373961862707964,0.0373961853603213,0.0373961858411582
Wagepan,Controls,Avg_Effect,0,,,-0.0012677810231753
Wagepan,Controls,Effect,1,0.0400048259826924,0.0400048246508408,0.0400048207440371
Wagepan,Controls,Effect,2,0.0109445386511301,0.0109445372502894,0.0109445389573796
Wagepan,Controls,Effect,3,-8.078618254728215e-05,-8.07874683044826e-05,-8.07837809547e-05
Wagepan,Controls,Effect,4,-0.0046852383155874,-0.0046852377639111,-0.0046852471560577
Wagepan,Controls,Effect,5,-0.0704547977271373,-0.0704547967770118,-0.0704548068549655
Wagepan,Controls,Placebo,1,-0.0675098470965108,-0.0675098462549854,-0.0675098459616009
Wagepan,Controls,Placebo,2,0.0585019992284721,0.0585019968956182,0.0585019982869549
Wagepan,Dont_Drop_Larger_Lower,Avg_Effect,0,,,0.0235192212472678
Wagepan,Dont_Drop_Larger_Lower,Effect,1,0.0409507602378974,0.0409507589219753,0.0409507582209782
Wagepan,Dont_Drop_Larger_Lower,Effect,2,0.0218878159493155,0.0218878146052099,0.0218878152185475
Wagepan,Dont_Drop_Larger_Lower,Effect,3,0.0311019227087655,0.0311019215194921,0.0311019248212154
Wagepan,Dont_Drop_Larger_Lower,Effect,4,0.0181627017793775,0.0181627023972096,0.0181626955133226
Wagepan,Dont_Drop_Larger_Lower,Effect,5,-0.049965771888946,-0.0499657708663151,-0.0499657834854421
Wagepan,Dont_Drop_Larger_Lower,Placebo,1,-0.0883945683212952,-0.0883945688414893,-0.0883945682592297
Wagepan,Dont_Drop_Larger_Lower,Placebo,2,0.0370908381937922,0.0370908370919698,0.0370908339898777
Wagepan,Effects_Equal,Avg_Effect,0,,,0.0235192212472678
Wagepan,Effects_Equal,Effect,1,,,0.0409507582209782
Wagepan,Effects_Equal,Effect,2,,,0.0218878152185475
Wagepan,Effects_Equal,Effect,3,,,0.0311019248212154
Wagepan,Effects_Equal,Effect,4,,,0.0181626955133226
Wagepan,Effects_Equal,Effect,5,,,-0.0499657834854421
Wagepan,Effects_Equal,Placebo,1,,,-0.0883945682592297
Wagepan,Effects_Equal,Placebo,2,,,0.0370908339898777
Wagepan,Less_Conservative_SE,Avg_Effect,0,,,0.0235192212472678
Wagepan,Less_Conservative_SE,Effect,1,0.0409507602378974,0.0409507589219753,0.0409507582209782
Wagepan,Less_Conservative_SE,Effect,2,0.0218878159493155,0.0218878146052099,0.0218878152185475
Wagepan,Less_Conservative_SE,Effect,3,0.0311019227087655,0.0311019215194921,0.0311019248212154
Wagepan,Less_Conservative_SE,Effect,4,0.0181627017793775,0.0181627023972096,0.0181626955133226
Wagepan,Less_Conservative_SE,Effect,5,-0.049965771888946,-0.0499657708663151,-0.0499657834854421
Wagepan,Less_Conservative_SE,Placebo,1,-0.0883945683212952,-0.0883945688414893,-0.0883945682592297
Wagepan,Less_Conservative_SE,Placebo,2,0.0370908381937922,0.0370908370919698,0.0370908339898777
Wagepan,Normalized,Avg_Effect,0,,,0.0235192212472678
Wagepan,Normalized,Effect,1,0.0409507602378974,0.0409507589219753,0.0409507583273315
Wagepan,Normalized,Effect,2,0.0140707388245599,0.014070737960492,0.0140707385586475
Wagepan,Normalized,Effect,3,0.0144914453060621,0.0144914447519392,0.0144914461125008
Wagepan,Normalized,Effect,4,0.0067590207003408,0.0067590209302593,0.0067590183181489
Wagepan,Normalized,Effect,5,-0.0152795154809782,-0.015279515168258,-0.0152795192906782
Wagepan,Normalized,Placebo,1,-0.0883945683212952,-0.0883945688414893,-0.0883945691621365
Wagepan,Normalized,Placebo,2,0.0247272254625281,0.0247272247279799,0.0247272216889652
Wagepan,Only_Never_Switchers,Avg_Effect,0,,,0.0046336299902119
Wagepan,Only_Never_Switchers,Effect,1,0.0370227804585148,0.0370227788746051,0.0370227805503277
Wagepan,Only_Never_Switchers,Effect,2,0.0013780965387769,0.0013780944489098,0.0013780942122631
Wagepan,Only_Never_Switchers,Effect,3,0.0223836190358,0.022383617889138,0.0223836187328801
Wagepan,Only_Never_Switchers,Effect,4,-0.0017149786486216,-0.0017149788020647,-0.0017149827983487
Wagepan,Only_Never_Switchers,Effect,5,-0.060860172502604,-0.0608601716895671,-0.0608601828678212
Wagepan,Only_Never_Switchers,Placebo,1,-0.0757911522040574,-0.0757911523161336,-0.0757911498737126
Wagepan,Only_Never_Switchers,Placebo,2,0.0437174905634946,0.0437174898178332,0.0437174888772018
Wagepan,Placebos,Avg_Effect,0,,,0.0235192212472678
Wagepan,Placebos,Effect,1,0.0409507602378974,0.0409507589219753,0.0409507582209782
Wagepan,Placebos,Effect,2,0.0218878159493155,0.0218878146052099,0.0218878152185475
Wagepan,Placebos,Effect,3,0.0311019227087655,0.0311019215194921,0.0311019248212154
Wagepan,Placebos,Effect,4,0.0181627017793775,0.0181627023972096,0.0181626955133226
Wagepan,Placebos,Effect,5,-0.049965771888946,-0.0499657708663151,-0.0499657834854421
Wagepan,Placebos,Placebo,1,-0.0883945683212952,-0.0883945688414893,-0.0883945682592297
Wagepan,Placebos,Placebo,2,0.0370908381937922,0.0370908370919698,0.0370908339898777
Wagepan,Same_Switchers,Avg_Effect,0,,,0.0356296408025937
Wagepan,Same_Switchers,Effect,1,0.0465925502661598,0.0465925483984899,0.046592549897415
Wagepan,Same_Switchers,Effect,2,0.0338583191002666,0.0338583180940893,0.0338583159110927
Wagepan,Same_Switchers,Effect,3,0.0485448838864749,0.0485448821903344,0.0485448789022384
Wagepan,Same_Switchers,Effect,4,0.0374830518070217,0.0374830523439772,0.0374830390421733
Wagepan,Same_Switchers,Effect,5,-0.049965771888946,-0.0499657708663151,-0.0499657834854421
Wagepan,Same_Switchers,Placebo,1,-0.0869863786994067,-0.0869863802048182,-0.0869863842789152
Wagepan,Same_Switchers,Placebo,2,0.0782255250536383,0.0782255251120354,0.078225523004428
Wagepan,Same_Switchers_Placebo,Avg_Effect,0,,,0.0356296408025937
Wagepan,Same_Switchers_Placebo,Effect,1,0.0465925502661598,0.0465925483984899,0.046592549897415
Wagepan,Same_Switchers_Placebo,Effect,2,0.0338583191002666,0.0338583180940893,0.0338583159110927
Wagepan,Same_Switchers_Placebo,Effect,3,0.0485448838864749,0.0485448821903344,0.0485448789022384
Wagepan,Same_Switchers_Placebo,Effect,4,0.0374830518070217,0.0374830523439772,0.0374830390421733
Wagepan,Same_Switchers_Placebo,Effect,5,-0.049965771888946,-0.0499657708663151,-0.0499657834854421
Wagepan,Same_Switchers_Placebo,Placebo,1,-0.049687993152317,-0.0496879932504801,-0.0496879954055516
Wagepan,Same_Switchers_Placebo,Placebo,2,0.0782255250536383,0.0782255251120354,0.078225523004428
Wagepan,Switchers_In,Avg_Effect,0,,,0.05619417689228
Wagepan,Switchers_In,Effect,1,0.069336744097818,0.0693367423052272,0.0693367395718761
Wagepan,Switchers_In,Effect,2,0.0392462876508079,0.0392462858559662,0.0392462862753779
Wagepan,Switchers_In,Effect,3,0.0446190395137017,0.0446190393252549,0.044619040830283
Wagepan,Switchers_In,Effect,4,0.0244555311566841,0.0244555317083939,0.0244555224758496
Wagepan,Switchers_In,Effect,5,-0.0379471375754317,-0.037947135980127,-0.0379471537956131
Wagepan,Switchers_In,Placebo,1,-0.0920765808968882,-0.0920765801625643,-0.0920765806574785
Wagepan,Switchers_In,Placebo,2,0.0362436530134565,0.0362436533138449,0.0362436529855594
Wagepan,Switchers_Out,Avg_Effect,0,,,-0.0081432706069782
Wagepan,Switchers_Out,Effect,1,0.0015410933255805,0.0015410926714411,0.0015410937398775
Wagepan,Switchers_Out,Effect,2,-0.001018208563994,-0.001018209313314,-0.0010182020143358
Wagepan,Switchers_Out,Effect,3,0.0131286135505534,0.0131286110305108,0.0131286166164033
Wagepan,Switchers_Out,Effect,4,0.0093061271002052,0.0093061278110983,0.0093061265527108
Wagepan,Switchers_Out,Effect,5,-0.0662071696099113,-0.0662071693611638,-0.0662071708111315
Wagepan,Switchers_Out,Placebo,1,-0.0820640905597493,-0.0820640932368341,-0.0820640908024453
Wagepan,Switchers_Out,Placebo,2,0.0383333764582847,0.0383333732998864,0.0383333746104612
Wagepan,Trends_Lin,Effect,1,-0.0660763168688828,-0.0660763199493341,-0.0660763188906616
Wagepan,Trends_Lin,Effect,2,-0.1974201630926891,-0.197420168405642,-0.1974201671027262
Wagepan,Trends_Lin,Effect,3,-0.2674000238428755,-0.267400029826524,-0.267400020925294
Wagepan,Trends_Lin,Effect,4,-0.3575763298159954,-0.35757634080273,-0.3575763401596747
Wagepan,Trends_Lin,Effect,5,-0.5287161532339724,-0.528716166647606,-0.5287161667448887
Wagepan,Trends_Lin,Placebo,1,-0.1748081652291046,-0.174808163366108,-0.174808172270049
Wagepan,Trends_Lin,Placebo,2,-0.2115018567600207,-0.211501858193003,-0.2115018504244006
Wagepan,Trends_Nonparam,Avg_Effect,0,,,0.0274088016044724
Wagepan,Trends_Nonparam,Effect,1,0.0397497686544785,0.0397497671998484,0.0397497676309986
Wagepan,Trends_Nonparam,Effect,2,0.0258606013486882,0.0258605998123675,0.0258606001099789
Wagepan,Trends_Nonparam,Effect,3,0.0334369696014289,0.0334369684189782,0.0334369730529025
Wagepan,Trends_Nonparam,Effect,4,0.0209025989300411,0.0209025993186085,0.0209025946129626
Wagepan,Trends_Nonparam,Effect,5,-0.0436952251987551,-0.0436952242750416,-0.0436952363849199
Wagepan,Trends_Nonparam,Placebo,1,-0.0931634560856611,-0.0931634566146544,-0.0931634567127939
Wagepan,Trends_Nonparam,Placebo,2,0.0269629380674184,0.0269629371186276,0.026962938048629
Wagepan,Weight,Avg_Effect,0,,,0.0300053990089576
Wagepan,Weight,Effect,1,0.050464061010671,0.0504640597092505,0.0504640634454693
Wagepan,Weight,Effect,2,0.024979764202828,0.0249797628261454,0.0249797646027836
Wagepan,Weight,Effect,3,0.0418596387068216,0.0418596375394074,0.0418596377876751
Wagepan,Weight,Effect,4,0.0208927845549163,0.0208927851899455,0.0208927830932192
Wagepan,Weight,Effect,5,-0.0575851472382654,-0.0575851463290556,-0.0575851513517149
Wagepan,Weight,Placebo,1,-0.0811646052878162,-0.0811646058953602,-0.0811646015106683
Wagepan,Weight,Placebo,2,0.0408665364288512,0.040866535264217,0.0408665349288339
