Example,Model,Type,Index,Python,R,Stata
Deryugina,Baseline,Avg_Effect,0,,,0.3190720838826279
Deryugina,Baseline,Effect,1,0.0108629234897964,0.0108629234897964,0.0108629235458889
Deryugina,Baseline,Effect,2,0.0127917837790872,0.0127917837790872,0.0127917844925642
Deryugina,Baseline,Effect,3,0.0158004613717625,0.0158004613717625,0.0158004616427043
Deryugina,Baseline,Effect,4,0.0163886434481567,0.0163886434481567,0.0163886433729818
Deryugina,Baseline,Effect,5,0.0230699233229095,0.0230699233229095,0.0230699228957321
Deryugina,Baseline,Effect,6,0.0268285222080965,0.0268285222080965,0.02682852041142
Deryugina,Baseline,Effect,7,0.0377147267972462,0.0377147267972462,0.0377147289757426
Deryugina,Baseline,Effect,8,0.0392922472125829,0.039292247212583,0.0392922482316796
Deryugina,Baseline,Effect,9,0.0351089739263345,0.0351089739263345,0.0351089687737702
Deryugina,Baseline,Effect,10,0.0494015841376323,0.0494015841376323,0.0494015810449095
Deryugina,Baseline,Effect,11,0.051812285209058,0.051812285209058,0.0518122837750441
Deryugina,Baseline,Placebo,1,-0.005590260937519,-0.005590260937519,-0.0055902609314915
Deryugina,Baseline,Placebo,2,-0.0083553867958108,-0.0083553867958108,-0.0083553866676062
Deryugina,Baseline,Placebo,3,-0.0128183076120829,-0.012818307612083,-0.0128183077086481
Deryugina,Baseline,Placebo,4,-0.0091429868504583,-0.0091429868504583,-0.0091429871822088
Deryugina,Baseline,Placebo,5,-0.0075546182974461,-0.0075546182974462,-0.0075546179921504
Deryugina,Baseline,Placebo,6,-0.0073115138443454,-0.0073115138443454,-0.0073115140369315
Deryugina,Baseline,Placebo,7,-0.0079583381556785,-0.0079583381556785,-0.0079583384111187
Deryugina,Baseline,Placebo,8,-0.0088409631498755,-0.0088409631498755,-0.0088409639578879
Deryugina,Baseline,Placebo,9,-0.0143815701965615,-0.0143815701965616,-0.0143815702182803
Deryugina,Baseline,Placebo,10,-0.0086497794334276,-0.0086497794334276,-0.0086497799450073
Deryugina,Baseline,Placebo,11,-0.0035923777313612,-0.0035923777313612,-0.0035923793101061
Favara_Imbs,Baseline,Avg_Effect,0,,,0.0041923963638153
Favara_Imbs,Baseline,Effect,1,0.0024102752211118,0.0024102752211118,0.0024102751877014
Favara_Imbs,Baseline,Effect,2,0.0055268159096213,0.0055268159096213,0.0055268159428213
Favara_Imbs,Baseline,Effect,3,0.0081491954413894,0.0081491954413894,0.0081491954767889
Favara_Imbs,Baseline,Effect,4,0.0116606590571964,0.0116606590571964,0.0116606590841804
Favara_Imbs,Baseline,Effect,5,0.017324500872587,0.0173245008725871,0.0173245008139858
Favara_Imbs,Baseline,Placebo,1,-0.0023696087185562,-0.0023696087185562,-0.002369608579105
Favara_Imbs,Baseline,Placebo,2,0.0027088241500273,0.0027088241500273,0.0027088243197296
Favara_Imbs,Baseline,Placebo,3,-0.0109803011417938,-0.0109803011417939,-0.0109803007851131
Gentzkow,Non_Normalized,Avg_Effect,0,,,0.0160564992255824
Gentzkow,Non_Normalized,Effect,1,,0.0144244335391573,0.014424434385508
Gentzkow,Non_Normalized,Effect,2,,0.0190899411679105,0.0190899417120848
Gentzkow,Non_Normalized,Effect,3,,0.0207146714134795,0.0207146717465281
