Example,Model,Type,Index,Estimate,SE,Platform
Wagepan,Same_Switchers_Placebo,Effect,1,0.046592549897415,0.0409018039925299,Stata
Wagepan,Same_Switchers_Placebo,Effect,2,0.0338583159110927,0.046916230880135,Stata
Wagepan,Same_Switchers_Placebo,Effect,3,0.0485448789022384,0.0492838862576792,Stata
Wagepan,Same_Switchers_Placebo,Effect,4,0.0374830390421733,0.0510270921125032,Stata
Wagepan,Same_Switchers_Placebo,Effect,5,-0.0499657834854421,0.0546254372201278,Stata
Wagepan,Same_Switchers_Placebo,Placebo,1,-0.0496879954055516,0.1407298862992345,Stata
Wagepan,Same_Switchers_Placebo,Placebo,2,0.078225523004428,0.097892183195396,Stata
Wagepan,Same_Switchers_Placebo,Avg_Effect,0,0.0356296408025937,0.0646071775779285,Stata
Wagepan,Switchers_In,Effect,1,0.0693367395718761,0.0504151157015638,Stata
Wagepan,Switchers_In,Effect,2,0.0392462862753779,0.0506126346909091,Stata
Wagepan,Switchers_In,Effect,3,0.044619040830283,0.058411557718801,Stata
Wagepan,Switchers_In,Effect,4,0.0244555224758496,0.0656956321410622,Stata
Wagepan,Switchers_In,Effect,5,-0.0379471537956131,0.0765452925280895,Stata
Wagepan,Switchers_In,Placebo,1,-0.0920765806574785,0.0498936510423873,Stata
Wagepan,Switchers_In,Placebo,2,0.0362436529855594,0.0687048177716713,Stata
Wagepan,Switchers_In,Avg_Effect,0,0.05619417689228,0.0892194350558397,Stata
Wagepan,Switchers_Out,Effect,1,0.0015410937398775,0.041032418556608,Stata
Wagepan,Switchers_Out,Effect,2,-0.0010182020143358,0.0621764046179762,Stata
Wagepan,Switchers_Out,Effect,3,0.0131286166164033,0.0617730507939989,Stata
Wagepan,Switchers_Out,Effect,4,0.0093061265527108,0.0660923697786084,Stata
Wagepan,Switchers_Out,Effect,5,-0.0662071708111315,0.0761446614534198,Stata
Wagepan,Switchers_Out,Placebo,1,-0.0820640908024453,0.0764612945613996,Stata
Wagepan,Switchers_Out,Placebo,2,0.0383333746104612,0.1019180934762208,Stata
Wagepan,Switchers_Out,Avg_Effect,0,-0.0081432706069782,0.0657594164165135,Stata
Wagepan,Only_Never_Switchers,Effect,1,0.0370227805503277,0.0332715245579343,Stata
Wagepan,Only_Never_Switchers,Effect,2,0.0013780942122631,0.040266679861073,Stata
Wagepan,Only_Never_Switchers,Effect,3,0.0223836187328801,0.0413721998950736,Stata
Wagepan,Only_Never_Switchers,Effect,4,-0.0017149827983487,0.0462793501869635,Stata
Wagepan,Only_Never_Switchers,Effect,5,-0.0608601828678212,0.0544282396182001,Stata
Wagepan,Only_Never_Switchers,Placebo,1,-0.0757911498737126,0.0392231087160782,Stata
Wagepan,Only_Never_Switchers,Placebo,2,0.0437174888772018,0.055601776870026,Stata
Wagepan,Only_Never_Switchers,Avg_Effect,0,0.0046336299902119,0.0540293297491548,Stata
Wagepan,CI_Level_90,Effect,1,0.0409507582209782,0.0339709095495669,Stata
Wagepan,CI_Level_90,Effect,2,0.0218878152185475,0.0393387800621144,Stata
Wagepan,CI_Level_90,Effect,3,0.0311019248212154,0.04259758453805,Stata
Wagepan,CI_Level_90,Effect,4,0.0181626955133226,0.0472099724664976,Stata
Wagepan,CI_Level_90,Effect,5,-0.0499657834854421,0.0546254372201278,Stata
Wagepan,CI_Level_90,Placebo,1,-0.0883945682592297,0.0422581613598943,Stata
Wagepan,CI_Level_90,Placebo,2,0.0370908339898777,0.0581036599982282,Stata
Wagepan,CI_Level_90,Avg_Effect,0,0.0235192212472678,0.0551657021888198,Stata
Wagepan,CI_Level_99,Effect,1,0.0409507582209782,0.0339709095495669,Stata
Wagepan,CI_Level_99,Effect,2,0.0218878152185475,0.0393387800621144,Stata
Wagepan,CI_Level_99,Effect,3,0.0311019248212154,0.04259758453805,Stata
Wagepan,CI_Level_99,Effect,4,0.0181626955133226,0.0472099724664976,Stata
Wagepan,CI_Level_99,Effect,5,-0.0499657834854421,0.0546254372201278,Stata
Wagepan,CI_Level_99,Placebo,1,-0.0883945682592297,0.0422581613598943,Stata
Wagepan,CI_Level_99,Placebo,2,0.0370908339898777,0.0581036599982282,Stata
Wagepan,CI_Level_99,Avg_Effect,0,0.0235192212472678,0.0551657021888198,Stata
Wagepan,Less_Conservative_SE,Effect,1,0.0409507582209782,0.0339709095495669,Stata
Wagepan,Less_Conservative_SE,Effect,2,0.0218878152185475,0.0385286913430163,Stata
Wagepan,Less_Conservative_SE,Effect,3,0.0311019248212154,0.0429979114362526,Stata
Wagepan,Less_Conservative_SE,Effect,4,0.0181626955133226,0.0469452981209198,Stata
Wagepan,Less_Conservative_SE,Effect,5,-0.0499657834854421,0.0533969864962683,Stata
Wagepan,Less_Conservative_SE,Placebo,1,-0.0883945682592297,0.0422581613598943,Stata
Wagepan,Less_Conservative_SE,Placebo,2,0.0370908339898777,0.0581036599982282,Stata
Wagepan,Less_Conservative_SE,Avg_Effect,0,0.0235192212472678,0.0537006184043981,Stata
Wagepan,Bootstrap,Effect,1,0.0409507582209782,0.0339709095495669,Stata
Wagepan,Bootstrap,Effect,2,0.0218878152185475,0.0393387800621144,Stata
Wagepan,Bootstrap,Effect,3,0.0311019248212154,0.04259758453805,Stata
Wagepan,Bootstrap,Effect,4,0.0181626955133226,0.0472099724664976,Stata
Wagepan,Bootstrap,Effect,5,-0.0499657834854421,0.0546254372201278,Stata
Wagepan,Bootstrap,Placebo,1,-0.0883945682592297,0.0422581613598943,Stata
Wagepan,Bootstrap,Placebo,2,0.0370908339898777,0.0581036599982282,Stata
Wagepan,Bootstrap,Avg_Effect,0,0.0235192212472678,0.0551657021888198,Stata
