Example,Model,Type,Index,Estimate,SE
Wagepan,Baseline,Effect,1,.0409507582209782,.0339709095495669
Wagepan,Baseline,Effect,2,.0218878152185475,.0393387800621144
Wagepan,Baseline,Effect,3,.0311019248212154,.04259758453805
Wagepan,Baseline,Effect,4,.0181626955133226,.0472099724664976
Wagepan,Baseline,Effect,5,-.0499657834854421,.0546254372201278
Wagepan,Baseline,Avg_Effect,0,.0235192212472678,.0551657021888198
Wagepan,Placebos,Effect,1,.0409507582209782,.0339709095495669
Wagepan,Placebos,Effect,2,.0218878152185475,.0393387800621144
Wagepan,Placebos,Effect,3,.0311019248212154,.04259758453805
Wagepan,Placebos,Effect,4,.0181626955133226,.0472099724664976
Wagepan,Placebos,Effect,5,-.0499657834854421,.0546254372201278
Wagepan,Placebos,Placebo,1,-.0883945682592297,.0422581613598943
Wagepan,Placebos,Placebo,2,.0370908339898777,.0581036599982282
Wagepan,Placebos,Avg_Effect,0,.0235192212472678,.0551657021888198
Wagepan,Normalized,Effect,1,.0409507583273315,.0339709096377928
Wagepan,Normalized,Effect,2,.0140707385586475,.0252892161206247
Wagepan,Normalized,Effect,3,.0144914461125008,.0198476655192342
Wagepan,Normalized,Effect,4,.0067590183181489,.0175685964930866
Wagepan,Normalized,Effect,5,-.0152795192906782,.0167044397894782
Wagepan,Normalized,Placebo,1,-.0883945691621365,.0422581617915406
Wagepan,Normalized,Placebo,2,.0247272216889652,.0387357718111311
Wagepan,Normalized,Avg_Effect,0,.0235192212472678,.0551657021888198
Wagepan,Controls,Effect,1,.0400048207440371,.0320587451340442
Wagepan,Controls,Effect,2,.0109445389573796,.0369062458282702
Wagepan,Controls,Effect,3,-.0000807837809547,.0413425492016887
Wagepan,Controls,Effect,4,-.0046852471560577,.0477966529733423
Wagepan,Controls,Effect,5,-.0704548068549655,.0547628581802483
Wagepan,Controls,Placebo,1,-.0675098459616009,.0417435974659112
Wagepan,Controls,Placebo,2,.0585019982869549,.0586135710145728
Wagepan,Controls,Avg_Effect,0,-.0012677810231753,.054288244406418
Wagepan,Trends_Nonparam,Effect,1,.0397497676309986,.0337262025871201
Wagepan,Trends_Nonparam,Effect,2,.0258606001099789,.0390807189507443
Wagepan,Trends_Nonparam,Effect,3,.0334369730529025,.0424415002838349
Wagepan,Trends_Nonparam,Effect,4,.0209025946129626,.046645290890076
Wagepan,Trends_Nonparam,Effect,5,-.0436952363849199,.0547109779965653
Wagepan,Trends_Nonparam,Placebo,1,-.0931634567127939,.0419019412033874
Wagepan,Trends_Nonparam,Placebo,2,.026962938048629,.0587613665821016
Wagepan,Trends_Nonparam,Avg_Effect,0,.0274088016044724,.0548726760798829
Wagepan,Trends_Lin,Effect,1,-.0660763188906616,.0720155514468407
Wagepan,Trends_Lin,Effect,2,-.1974201671027262,.1188811412707597
Wagepan,Trends_Lin,Effect,3,-.267400020925294,.1735143202846322
Wagepan,Trends_Lin,Effect,4,-.3575763401596747,.252807625529
Wagepan,Trends_Lin,Effect,5,-.5287161667448887,.3549213885838881
Wagepan,Trends_Lin,Placebo,1,-.174808172270049,.0939974442623482
Wagepan,Trends_Lin,Placebo,2,-.2115018504244006,.1354876937468019
Wagepan,Continuous,Effect,1,.0409507593036407,.0339723172542539
Wagepan,Continuous,Effect,2,.0131839880261291,.0403667929760334
Wagepan,Continuous,Effect,3,.0228333521193911,.0430415441948063
Wagepan,Continuous,Effect,4,.0057284711595916,.0484573067500093
Wagepan,Continuous,Effect,5,-.0579701054606847,.0558354383492891
Wagepan,Continuous,Placebo,1,-.078758077065905,.0381338411067157
Wagepan,Continuous,Placebo,2,.0373961858411582,.0519353001129
Wagepan,Continuous,Avg_Effect,0,.0127485028415472,.0564189260788359
Wagepan,Weight,Effect,1,.0504640634454693,.0339455431042898
Wagepan,Weight,Effect,2,.0249797646027836,.0399114389780823
Wagepan,Weight,Effect,3,.0418596377876751,.0426164221367438
Wagepan,Weight,Effect,4,.0208927830932192,.0487201053129559
Wagepan,Weight,Effect,5,-.0575851513517149,.0565596216124375
Wagepan,Weight,Placebo,1,-.0811646015106683,.0424708520077906
Wagepan,Weight,Placebo,2,.0408665349288339,.0611291130064953
Wagepan,Weight,Avg_Effect,0,.0300053990089576,.0560512971692934
Wagepan,Cluster,Effect,1,.0409507582209782,.0285618486337557
Wagepan,Cluster,Effect,2,.0218878152185475,.0255911883632005
Wagepan,Cluster,Effect,3,.0311019248212154,.0278902094708234
Wagepan,Cluster,Effect,4,.0181626955133226,.0100765036849366
Wagepan,Cluster,Effect,5,-.0499657834854421,.0275674130427932
Wagepan,Cluster,Placebo,1,-.0883945682592297,.1009125930606319
Wagepan,Cluster,Placebo,2,.0370908339898777,.0958356814697646
Wagepan,Cluster,Avg_Effect,0,.0235192212472678,.0172026512035339
Wagepan,Same_Switchers,Effect,1,.046592549897415,.0409018039925299
Wagepan,Same_Switchers,Effect,2,.0338583159110927,.046916230880135
Wagepan,Same_Switchers,Effect,3,.0485448789022384,.0492838862576792
Wagepan,Same_Switchers,Effect,4,.0374830390421733,.0510270921125032
Wagepan,Same_Switchers,Effect,5,-.0499657834854421,.0546254372201278
Wagepan,Same_Switchers,Placebo,1,-.0869863842789152,.0678572200171373
Wagepan,Same_Switchers,Placebo,2,.078225523004428,.097892183195396
Wagepan,Same_Switchers,Avg_Effect,0,.0356296408025937,.0646071775779285
Wagepan,Same_Switchers_Placebo,Effect,1,.046592549897415,.0409018039925299
Wagepan,Same_Switchers_Placebo,Effect,2,.0338583159110927,.046916230880135
Wagepan,Same_Switchers_Placebo,Effect,3,.0485448789022384,.0492838862576792
Wagepan,Same_Switchers_Placebo,Effect,4,.0374830390421733,.0510270921125032
Wagepan,Same_Switchers_Placebo,Effect,5,-.0499657834854421,.0546254372201278
Wagepan,Same_Switchers_Placebo,Placebo,1,-.0496879954055516,.1407298862992345
Wagepan,Same_Switchers_Placebo,Placebo,2,.078225523004428,.097892183195396
Wagepan,Same_Switchers_Placebo,Avg_Effect,0,.0356296408025937,.0646071775779285
Wagepan,Switchers_In,Effect,1,.0693367395718761,.0504151157015638
Wagepan,Switchers_In,Effect,2,.0392462862753779,.0506126346909091
Wagepan,Switchers_In,Effect,3,.044619040830283,.058411557718801
Wagepan,Switchers_In,Effect,4,.0244555224758496,.0656956321410622
Wagepan,Switchers_In,Effect,5,-.0379471537956131,.0765452925280895
Wagepan,Switchers_In,Placebo,1,-.0920765806574785,.0498936510423873
Wagepan,Switchers_In,Placebo,2,.0362436529855594,.0687048177716713
Wagepan,Switchers_In,Avg_Effect,0,.05619417689228,.0892194350558397
Wagepan,Switchers_Out,Effect,1,.0015410937398775,.041032418556608
