"Example","Model","Runtime_Polars","Runtime_CRAN","Speedup","Speedup_pct"
"Wagepan","Baseline",1.19689202308655,1.08204102516174,0.90404230648256,-10.6142923654526
"Wagepan","Placebos",2.14491295814514,1.7532901763916,0.817417867579948,-22.3364498944225
"Wagepan","Normalized",1.50336194038391,1.84946322441101,1.2302182027694,18.7136072487908
"Wagepan","Controls",3.12232708930969,3.61934304237366,1.15918125771181,13.732214582733
"Wagepan","Trends_Nonparam",1.94059300422668,1.63601398468018,0.843048481117308,-18.6171403422353
"Wagepan","Trends_Lin",6.98765993118286,4.16465592384338,0.596001517655195,-67.7848076518709
"Wagepan","Cluster",2.44883894920349,1.95408606529236,0.797964303013044,-25.3188891062026
"Wagepan","Same_Switchers",2.2909049987793,1.99894499778748,0.872556914779361,-14.6057045749118
"Wagepan","Switchers_In",0.762727975845337,0.79531717300415,1.04272715593353,4.09763529130321
"Wagepan","Switchers_Out",0.970851898193359,0.777862787246704,0.80121673418388,-24.8101739935076
"Favara_Imbs","Baseline",1.55654096603394,2.12358808517456,1.36429951508791,26.7023121432711
"Deryugina","Baseline",7.02131414413452,44.833841085434,6.38539170375782,84.3392536214889
"Gentzkow","Non_Normalized",2.03952789306641,5.86462903022766,2.8754836107734,65.2232411879045
"Gentzkow","Normalized",1.89752888679504,6.2131199836731,3.2743216859097,69.4593233064646
