"Example","Model","Runtime_sec","Platform"
"Wagepan","Baseline",1.19689202308655,"R_Polars"
"Wagepan","Placebos",2.14491295814514,"R_Polars"
"Wagepan","Normalized",1.50336194038391,"R_Polars"
"Wagepan","Controls",3.12232708930969,"R_Polars"
"Wagepan","Trends_Nonparam",1.94059300422668,"R_Polars"
"Wagepan","Trends_Lin",6.98765993118286,"R_Polars"
"Wagepan","Cluster",2.44883894920349,"R_Polars"
"Wagepan","Same_Switchers",2.2909049987793,"R_Polars"
"Wagepan","Switchers_In",0.762727975845337,"R_Polars"
"Wagepan","Switchers_Out",0.970851898193359,"R_Polars"
"Favara_Imbs","Baseline",1.55654096603394,"R_Polars"
"Deryugina","Baseline",7.02131414413452,"R_Polars"
"Gentzkow","Non_Normalized",2.03952789306641,"R_Polars"
"Gentzkow","Normalized",1.89752888679504,"R_Polars"
