"Example","Model","Runtime_sec","Platform"
"Wagepan","Baseline",0.728,"Stata"
"Wagepan","Placebos",0.811,"Stata"
"Wagepan","Normalized",0.851,"Stata"
"Wagepan","Controls",1.287,"Stata"
"Wagepan","Trends_Nonparam",0.877,"Stata"
"Wagepan","Trends_Lin",3.048,"Stata"
"Wagepan","Cluster",0.91,"Stata"
"Wagepan","Same_Switchers",1.282,"Stata"
"Wagepan","Switchers_In",0.495,"Stata"
"Wagepan","Switchers_Out",0.49,"Stata"
"Favara_Imbs","Baseline",0.822,"Stata"
"Deryugina","Baseline",8.909,"Stata"
"Gentzkow","Non_Normalized",2.133,"Stata"
"Gentzkow","Normalized",2.238,"Stata"
"Wagepan","Baseline",1.08204102516174,"R_CRAN"
"Wagepan","Placebos",1.7532901763916,"R_CRAN"
"Wagepan","Normalized",1.84946322441101,"R_CRAN"
"Wagepan","Controls",3.61934304237366,"R_CRAN"
"Wagepan","Trends_Nonparam",1.63601398468018,"R_CRAN"
"Wagepan","Trends_Lin",4.16465592384338,"R_CRAN"
"Wagepan","Cluster",1.95408606529236,"R_CRAN"
"Wagepan","Same_Switchers",1.99894499778748,"R_CRAN"
"Wagepan","Switchers_In",0.79531717300415,"R_CRAN"
"Wagepan","Switchers_Out",0.777862787246704,"R_CRAN"
"Favara_Imbs","Baseline",2.12358808517456,"R_CRAN"
"Deryugina","Baseline",44.833841085434,"R_CRAN"
"Gentzkow","Non_Normalized",5.86462903022766,"R_CRAN"
"Gentzkow","Normalized",6.2131199836731,"R_CRAN"
"Wagepan","Baseline",1.34338808059692,"R_Polars"
"Wagepan","Placebos",1.82849788665771,"R_Polars"
"Wagepan","Normalized",1.75126194953918,"R_Polars"
"Wagepan","Controls",2.24409413337708,"R_Polars"
"Wagepan","Trends_Nonparam",1.73527908325195,"R_Polars"
"Wagepan","Trends_Lin",7.11805105209351,"R_Polars"
"Wagepan","Cluster",1.87721586227417,"R_Polars"
"Wagepan","Same_Switchers",2.71982216835022,"R_Polars"
"Wagepan","Switchers_In",1.0652711391449,"R_Polars"
"Wagepan","Switchers_Out",0.779465198516846,"R_Polars"
"Favara_Imbs","Baseline",1.54680800437927,"R_Polars"
"Deryugina","Baseline",6.11240792274475,"R_Polars"
"Gentzkow","Non_Normalized",2.33136200904846,"R_Polars"
"Gentzkow","Normalized",1.99612092971802,"R_Polars"
