Example,Model,Type,Index,Estimate,SE
Wagepan,Switchers_Out,Effect,4,0.009306127100205243,0.06609236758756572
Wagepan,Switchers_Out,Effect,5,-0.06620716960991131,0.07614465820227852
Wagepan,Switchers_Out,Placebo,1,-0.08206409055974934,0.07646129757800661
Wagepan,Switchers_Out,Placebo,2,0.03833337645828472,0.10191809279628651
Wagepan,Only_Never_Switchers,Effect,1,0.03702278045851484,0.03327152386979568
Wagepan,Only_Never_Switchers,Effect,2,0.0013780965387769823,0.04026667852782722
Wagepan,Only_Never_Switchers,Effect,3,0.022383619035800065,0.04137219863569083
Wagepan,Only_Never_Switchers,Effect,4,-0.0017149786486216428,0.04627934862618404
Wagepan,Only_Never_Switchers,Effect,5,-0.06086017250260403,0.05442823706752187
Wagepan,Only_Never_Switchers,Placebo,1,-0.07579115220405742,0.039223108860073394
Wagepan,Only_Never_Switchers,Placebo,2,0.04371749056349468,0.05560177758765232
Wagepan,CI_Level_90,Effect,1,0.04095076023789749,0.03397090865623912
Wagepan,CI_Level_90,Effect,2,0.021887815949315537,0.03933877924885641
Wagepan,CI_Level_90,Effect,3,0.031101922708765502,0.042597583741255635
Wagepan,CI_Level_90,Effect,4,0.018162701779377562,0.04720997040050727
Wagepan,CI_Level_90,Effect,5,-0.049965771888946034,0.05462543453779023
Wagepan,CI_Level_90,Placebo,1,-0.08839456832129522,0.04225816156185804
Wagepan,CI_Level_90,Placebo,2,0.037090838193792254,0.05810365994698185
Wagepan,CI_Level_99,Effect,1,0.04095076023789749,0.03397090865623912
Wagepan,CI_Level_99,Effect,2,0.021887815949315537,0.03933877924885641
Wagepan,CI_Level_99,Effect,3,0.031101922708765502,0.042597583741255635
Wagepan,CI_Level_99,Effect,4,0.018162701779377562,0.04720997040050727
Wagepan,CI_Level_99,Effect,5,-0.049965771888946034,0.05462543453779023
Wagepan,CI_Level_99,Placebo,1,-0.08839456832129522,0.04225816156185804
