index,count,mean,std,min,25%,50%,75%,max
delta_D_g_2_plus_XX,4360.0,0.013073393682241516,0.11360210917857165,0.0,0.0,0.0,0.0,1.0000000113899716
delta_D_g_2_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg3_plus_XX,4360.0,0.006912046357540468,0.5343800889488587,-4.855580356404977,-0.0,-0.0,0.0,15.845901846372584
U_Gg3_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count3_plus_XX,4360.0,4.237385272979736,5.802421569824219,0.0,0.0,0.0,11.0,16.0
count3_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_var_3_in_XX,4360.0,-4.328718130119517e-10,1.3633924915887774,-6.247292956541442,-0.2730678135608972,0.0,0.28080693602997586,14.420742615537335
U_Gg_var_3_out_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_D_g_3_plus_XX,4360.0,0.01284403655830885,0.1126142790871454,0.0,0.0,0.0,0.0,1.0000000108594165
delta_D_g_3_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg4_plus_XX,4360.0,0.0033310508710995535,0.6207329387682897,-15.10807924780227,-0.0,-0.0,0.0,16.01407689538621
U_Gg4_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count4_plus_XX,4360.0,3.3793578147888184,5.454052925109863,0.0,0.0,0.0,10.0,16.0
count4_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_var_4_in_XX,4360.0,3.426923519023795e-08,1.566668121889764,-16.546084668071266,-0.31146831854378876,0.0,0.35663065766093455,13.923522678004009
U_Gg_var_4_out_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_D_g_4_plus_XX,4360.0,0.010779816531988172,0.1032766113378618,0.0,0.0,0.0,0.0,1.000000054283504
delta_D_g_4_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg5_plus_XX,4360.0,-0.005569684085429368,0.7147720414758392,-12.08982312968033,0.0,0.0,0.0,17.433261025735664
U_Gg5_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count5_plus_XX,4360.0,2.5405962467193604,4.948904991149902,0.0,0.0,0.0,0.0,16.0
count5_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_var_5_in_XX,4360.0,-7.409928641319821e-08,1.830760401113065,-15.024330950132452,-0.3077725900657931,0.0,0.3937298350706338,15.391937028131695
U_Gg_var_5_out_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_D_g_5_plus_XX,4360.0,0.009403670104738302,0.09652656881233314,0.0,0.0,0.0,0.0,1.0000000969110943
delta_D_g_5_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_pl_1_plus_XX,4360.0,-0.01090886467274268,0.4402508202983848,-14.72615782476405,-0.0,0.0,0.0,8.125748822100872
U_Gg_pl_1_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count1_pl_plus_XX,4360.0,5.055733944954128,6.001748171022272,0.0,0.0,0.0,12.0,16.0
count1_pl_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_var_pl_1_in_XX,4360.0,-1.9163146828800313e-08,1.1725828088133845,-13.78335556887222,-0.0969730693635775,0.0,0.05757490607207823,9.232177122690564
U_Gg_var_pl_1_out_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_pl_2_plus_XX,4360.0,0.004672285736991692,0.6164017585934941,-13.534875949381833,0.0,0.0,0.0,14.871545572641118
U_Gg_pl_2_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count2_pl_plus_XX,4360.0,3.1942660550458717,5.367102955867197,0.0,0.0,0.0,9.0,16.0
count2_pl_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_var_pl_2_in_XX,4360.0,-3.785620148446135e-09,1.756981613035487,-12.733253952086494,-0.12673058518136351,0.0,0.06151629181453758,16.42684263977579
U_Gg_var_pl_2_out_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_pl_3_plus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_pl_3_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count3_pl_plus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count3_pl_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_var_pl_3_in_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_var_pl_3_out_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_pl_4_plus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_pl_4_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count4_pl_plus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count4_pl_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_var_pl_4_in_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_var_pl_4_out_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_pl_5_plus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_pl_5_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count5_pl_plus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count5_pl_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_var_pl_5_in_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_var_pl_5_out_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_plus_XX,4360.0,0.007935926702681426,0.8284820861298589,-10.836336036179528,-0.0,0.0,0.0,25.2629472220445
U_Gg_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_Gg_var_plus_XX,4360.0,8.881847904654065e-09,2.0974724794138933,-12.841917616197472,-0.4657119755729848,0.0,0.37755581019085593,22.63100403002671
U_Gg_var_minus_XX,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
switchers_tag_XX,606.0,2.834983498349835,1.4068888070596517,1.0,2.0,3.0,4.0,5.0
diff_y_1_XX,3815.0,0.06757175922393799,0.4437985122203827,-4.510800361633301,-0.07566666603088379,0.051696062088012695,0.1993979811668396,4.901834964752197
never_change_d_1_XX,3815.0,0.6608125819134993,0.4734955976735909,0.0,0.0,1.0,1.0,1.0
never_change_d_1_wXX,3815.0,7.863433813892529,5.819876458021933,0.0,0.0,11.0,12.0,16.0
N_gt_control_1_XX,4360.0,2509.5809633027525,1546.0330203103424,0.0,668.0,3335.0,3657.0,4291.0
distance_to_switch_1_XX,3815.0,0.03748361730013106,0.18996856384853908,0.0,0.0,0.0,0.0,1.0
distance_to_switch_1_wXX,3815.0,0.4314547837483617,2.2061924472499475,0.0,0.0,0.0,0.0,15.0
N1_t_1_XX,4360.0,205.75,172.44421681998887,0.0,84.0,161.0,249.0,522.0
N_dw1_t_1_XX,4360.0,17.875,14.854628406268633,0.0,7.0,14.5,21.75,45.0
N1_t_1_g_XX,4360.0,154.02935779816514,173.86822121581181,0.0,0.0,84.0,181.0,522.0
diff_y_1_N_gt_XX,3815.0,0.8091758489608765,5.353732109069824,-58.640403747558594,-0.8691009283065796,0.5980145931243896,2.336578369140625,63.723854064941406
